index;budget;genres;id;keywords;popularity;production_countries;release_date;revenue;title;vote_average;vote_count;cast;director
10;270000000;Adventure Fantasy Action Science Fiction;1452;saving the world dc comics invulnerability sequel superhero;57.925623;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";28.06.2006;391081192;Superman Returns;5,4;1400;Brandon Routh, Spacey Kate, Bosworth James, Marsden Parker, Posey ;Bryan Singer
11;200000000;Adventure Action Thriller Crime;10764;killing undercover secret agent british secret service;107.92881100000001;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";30.10.2008;586090727;Quantum of Solace;6,1;2965;Daniel Craig, Kurylenko Mathieu, Amalric Judi, Dench Giancarlo, Giannini ;Marc Forster
12;200000000;Adventure Fantasy Action;58;witch fortune teller bondage exotic island monster;145.84737900000005;"[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]";20.06.2006;1065659812;Pirates of the Caribbean: Dead Man's Chest;7;5246;Johnny Depp, Bloom Keira, Knightley Stellan, Skarsg\u00e5rd Bill, Nighy ;Gore Verbinski
13;255000000;Action Adventure Western;57201;texas horse survivor texas ranger partner;49.046956;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";03.07.2013;89289910;The Lone Ranger;5,9;2311;Johnny Depp, Hammer William, Fichtner Helena, Bonham Carter, James Badge;Gore Verbinski
14;225000000;Action Adventure Fantasy Science Fiction;49521;saving the world dc comics superhero based on comic book superhuman;99.398009;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";12.06.2013;662845518;Man of Steel;6,5;6359;Henry Cavill, Adams Michael, Shannon Kevin, Costner Diane, Lane ;Zack Snyder
15;225000000;Adventure Family Fantasy;2454;based on novel fictional place brother sister relationship lion human being;53.978602;"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";15.05.2008;419651413;The Chronicles of Narnia: Prince Caspian;6,3;1630;Ben Barnes, Moseley Anna, Popplewell Skandar, Keynes Georgie, Henley ;Andrew Adamson
16;220000000;Science Fiction Action Adventure;24428;new york shield marvel comic superhero based on comic book;144.448633;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";25.04.2012;1519557910;The Avengers;7,4;11776;Robert Downey, Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson;Joss Whedon
17;380000000;Adventure Action Fantasy;1865;sea captain mutiny sword prime minister;135.413856;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";14.05.2011;1045713802;Pirates of the Caribbean: On Stranger Tides;6,4;4948;Johnny Depp, Cruz Ian, McShane Kevin, McNally Geoffrey, Rush ;Rob Marshall
18;225000000;Action Comedy Science Fiction;41154;time travel time machine alien fictional government agency seeing the future;52.035179;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";23.05.2012;624026776;Men in Black 3;6,2;4160;Will Smith, Lee Jones, Josh Brolin, Michael Stuhlbarg, Emma Thompson;Barry Sonnenfeld
19;250000000;Action Adventure Fantasy;122917;corruption elves dwarves orcs middle-earth (tolkien);120.96574299999999;"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";10.12.2014;956019788;The Hobbit: The Battle of the Five Armies;7,1;4760;Martin Freeman, McKellen Richard, Armitage Ken, Stott Graham, McTavish ;Peter Jackson
20;215000000;Action Adventure Fantasy;1930;loss of father vigilante serum marvel comic scientific experiment;89.866276;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";27.06.2012;752215857;The Amazing Spider-Man;6,5;6586;Andrew Garfield, Stone Rhys, Ifans Denis, Leary Campbell, Scott ;Marc Webb
21;200000000;Action Adventure;20662;robin hood archer knight sherwood forest bow and arrow;;;;;;;;;
22;250000000;Adventure Fantasy;57158;elves dwarves orcs hobbit dragon;94.370564;"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";11.12.2013;958400000;The Hobbit: The Desolation of Smaug;7,6;4524;Martin Freeman, McKellen Richard, Armitage Ken, Stott Graham, McTavish ;Peter Jackson
23;180000000;Adventure Fantasy;2268;england compass experiment lordship uncle;42.990906;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";04.12.2007;372234864;The Golden Compass;5,8;1303;Dakota Blue, Nicole Kidman, Daniel Craig, Sam Elliott, Eva Green;Chris Weitz
24;207000000;Adventure Drama Action;254;film business screenplay show business film making film producer;61.226009999999995;"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]";14.12.2005;550000000;King Kong;6,6;2337;Naomi Watts, Black Adrien, Brody Thomas, Kretschmann Colin, Hanks ;Peter Jackson
25;200000000;Drama Romance Thriller;597;shipwreck iceberg ship panic titanic;100.025899;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";18.11.1997;1845034188;Titanic;7,5;7562;Kate Winslet, DiCaprio Frances, Fisher Billy, Zane Kathy, Bates ;James Cameron
26;250000000;Adventure Action Science Fiction;271110;civil war war marvel comic sequel superhero;198.37239499999998;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";27.04.2016;1153304495;Captain America: Civil War;7,1;7241;Chris Evans, Downey Scarlett, Johansson Sebastian, Stan Anthony, Mackie ;Anthony Russo
27;209000000;Thriller Action Adventure Science Fiction;44833;fight u.s. navy mind reading hong kong soccer;64.928382;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";11.04.2012;303025485;Battleship;5,5;2114;Taylor Kitsch, Skarsg\u00e5rd Brooklyn, Decker Tadanobu, Asano ,  ;Peter Berg
28;150000000;Action Adventure Science Fiction Thriller;135397;monster dna tyrannosaurus rex velociraptor island;418.708552;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";09.06.2015;1513528810;Jurassic World;6,5;8662;Chris Pratt, Dallas Irrfan, Khan Vincent, D'Onofrio Nick, Robinson ;
29;200000000;Action Adventure Thriller;37724;spy secret agent sociopath killer art gallery;93.004993;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";25.10.2012;1108561013;Skyfall;;7604;Daniel Craig, Dench Bardem, Ralph Fiennes, Naomie Harris,  ;Sam Mendes
30;200000000;Action Adventure Fantasy;558;dual identity love of one's life pizza boy marvel comic sequel;35.149586;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";25.06.2004;783766341;Spider-Man 2;6,9;4321;Tobey Maguire, Dunst Franco, Alfred Molina, Rosemary Harris,  ;Sam Raimi
31;200000000;Action Adventure Science Fiction;68721;terrorist war on terror tennessee malibu marvel comic;77.68208;"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";18.04.2013;1215439994;Iron Man 3;6,7;8806;Robert Downey, Gwyneth Don, Cheadle Guy, Pearce Rebecca, Hall ;Shane Black
32;200000000;Family Fantasy Adventure;12155;based on novel fictional place queen fantasy alice in wonderland;78.530105;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";03.03.2010;1025491110;Alice in Wonderland;6,8;4645;Mia Wasikowska, Depp Hathaway, Helena Bonham, Carter Crispin, Glover ;Tim Burton
33;210000000;Adventure Action Science Fiction Thriller;36668;mutant marvel comic based on comic book superhuman beast;3.857526;"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";24.05.2006;459359555;X-Men: The Last Stand;6,4;3525;Hugh Jackman, Berry McKellen, Patrick Stewart, Famke Janssen,  ;Brett Ratner
34;200000000;Animation Family;62211;monster dormitory games animation best friend;89.186492;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";20.06.2013;743559607;Monsters University;6,3;3528;Billy Crystal, Goodman Buscemi, Helen Mirren, Noah Johnston,  ;Dan Scanlon
35;150000000;Science Fiction Action Adventure;8373;egypt sun chaos symbol artifact;21.939663;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";19.06.2009;836297228;Transformers: Revenge of the Fallen;7;3138;Shia LaBeouf, Fox Duhamel, Rainn Wilson, Tyrese Gibson,  ;Michael Bay
36;210000000;Science Fiction Action Adventure;91314;sequel alien transformers giant robot robot;116.840296;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";25.06.2014;1091405097;Transformers: Age of Extinction;6;3095;Mark Wahlberg, Tucci Grammer, Nicola Peltz, Jack Reynor,  ;Michael Bay
37;200000000;Fantasy Adventure Family;68728;circus witch magic hope illusion;46.985445;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";07.03.2013;491868548;Oz: The Great and Powerful;5,8;3530;James Franco, Kunis Weisz, Michelle Williams, Zach Braff,  ;Sam Raimi
38;200000000;Action Adventure Fantasy;102382;obsession marvel comic sequel based on comic book electrocution;89.270217;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";16.04.2014;705717432;The Amazing Spider-Man 2;5,7;4179;Andrew Garfield, Stone Foxx, Dane DeHaan, Campbell Scott,  ;Marc Webb
39;170000000;Adventure Action Science Fiction;20526;artificial intelligence secret identity computer program dystopia computer;73.79505;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";10.12.2010;400062763;TRON: Legacy;6,5;2841;Garrett Hedlund, Bridges Wilde, Bruce Boxleitner, Yaya DaCosta,  ;Joseph Kosinski
40;200000000;Animation Family Adventure Comedy;49013;car race sequel comedy anthropomorphism best friend;49.98659;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";11.06.2011;559852396;Cars 2;6,3;2033;Owen Wilson, the Guy, Michael Caine, Emily Mortimer, John Turturro;John Lasseter
41;200000000;Adventure Action Thriller Science Fiction;44912;dc comics transformation superhero alien alien infection;51.872839;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";16.06.2011;219851172;Green Lantern;5,8;2487;Ryan Reynolds, Lively Sarsgaard, Tim Robbins, Mark Strong,  ;Martin Campbell
42;200000000;Animation Family Comedy;10193;hostage college toy barbie animation;59.99541800000001;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";16.06.2010;1066969703;Toy Story 3;5,1;4597;Tom Hanks, Allen Beatty, Joan Cusack, Michael Keaton,  ;Lee Unkrich
43;200000000;Action Science Fiction Thriller;534;saving the world artificial intelligence prophecy san francisco cyborg;71.862892;"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";20.05.2009;371353001;Terminator Salvation;7,6;2463;Christian Bale, Worthington Yelchin, Moon Bloodgood, Bryce Dallas, Howard ;McG
44;190000000;Action;168259;car race speed revenge suspense car;102.32221700000001;"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";01.04.2015;1506249360;Furious 7;5,9;4176;Vin Diesel, Walker Johnson, Michelle Rodriguez, Tyrese Gibson,  ;James Wan
45;200000000;Action Drama Horror Science Fiction Thriller;72190;dystopia apocalypse zombie nuclear weapons multiple perspectives;81.834855;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}]";20.06.2013;531865000;World War Z;7,3;5560;Brad Pitt, Enos Hargrove, Sterling Jerins, James Badge, Dale ;Marc Forster
46;250000000;Action Adventure Fantasy Science Fiction;127585;1970s mutant time travel marvel comic based on comic book;118.07869099999999;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";15.05.2014;747862775;X-Men: Days of Future Past;6,7;6032;Hugh Jackman, McAvoy Fassbender, Jennifer Lawrence, Halle Berry,  ;Bryan Singer
47;190000000;Action Adventure Science Fiction;54138;spacecraft friendship sequel futuristic space;78.29101800000002;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";05.05.2013;467365246;Star Trek Into Darkness;7,5;4418;Chris Pine, Quinto Saldana, Karl Urban, Simon Pegg,  ;J.J. Abrams
48;195000000;Action Family Fantasy;81005;based on fairy tale giant;43.349855;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";27.02.2013;197687603;Jack the Giant Slayer;7,4;2598;Nicholas Hoult, Tomlinson McGregor, Stanley Tucci, Ian McShane,  ;Bryan Singer
49;105000000;Drama Romance;64682;based on novel infidelity obsession hope 3d;61.196070999999996;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]";10.05.2013;351040419;The Great Gatsby;5,5;3769;Leonardo DiCaprio, Maguire Mulligan, Joel Edgerton, Elizabeth Debicki,  ;Baz Luhrmann
50;150000000;Adventure Fantasy Action Romance;9543;persia sandstorm brother against brother armageddon regent;62.169881000000004;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";19.05.2010;335154643;Prince of Persia: The Sands of Time;7,3;2317;Jake Gyllenhaal, Arterton Kingsley, Alfred Molina, Steve Toussaint,  ;Mike Newell
51;180000000;Action Science Fiction Adventure;68726;dystopia giant robot giant monster apocalypse imax;56.523205000000004;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]";11.07.2013;407602906;Pacific Rim;6,2;4794;Idris Elba, Hunnam Day, Ron Perlman, Burn Gorman,  ;Guillermo del Toro
52;195000000;Action Science Fiction Adventure;38356;moon spacecraft traitor bodyguard alien planet;28.529607000000002;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";28.06.2011;1123746996;Transformers: Dark of the Moon;6,7;3299;Shia LaBeouf, Malkovich Jeong, Frances McDormand, Josh Duhamel,  ;Michael Bay
53;185000000;Adventure Action;217;saving the world riddle whip treasure mexico city;75.674458;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";21.05.2008;786636033;Indiana Jones and the Kingdom of the Crystal Skull;6,1;2495;Harrison Ford, Blanchett LaBeouf, Ray Winstone, Karen Allen,  ;Steven Spielberg
54;175000000;Adventure Animation Family;105864;tyrannosaurus rex friends alternate history dinosaur fear;51.692953;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";14.11.2015;331926147;The Good Dinosaur;5,7;1736;Raymond Ochoa, Bright Wright, Frances McDormand, Maleah Nipay-Padilla,  ;Peter Sohn
55;185000000;Animation Adventure Comedy Family Action;62177;scotland rebel bravery kingdom archer;125.114374;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";21.06.2012;538983207;Brave;6,6;4641;Kelly Macdonald, Walters Connolly, Emma Thompson, Kevin McKidd,  ;Brenda Chapman
56;185000000;Action Adventure Science Fiction;188927;sequel stranded hatred space opera;65.352913;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";07.07.2016;343471816;Star Trek Beyond;6,7;2568;Chris Pine, Quinto Urban, Simon Pegg, Zoe Saldana,  ;Justin Lin
57;180000000;Animation Family;10681;romantic comedy;66.390712;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";22.06.2008;521311860;WALL·E;6,6;6296;Ben Burtt, Knight Garlin, Fred Willard, John Ratzenberger,  ;Andrew Stanton
58;140000000;Action Comedy Crime Thriller;5174;ambassador;22.57178;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";08.08.2007;258022233;Rush Hour 3;7,8;783;Chris Tucker, Chan Sanada, Max von, Sydow Yvan, Attal ;Brett Ratner
59;200000000;Action Adventure Science Fiction;14161;civilization natural disaster end of the world disaster apocalypse;45.274225;"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";10.10.2009;769653595;2012;6,1;4903;John Cusack, Peet Ejiofor, Thandie Newton, Oliver Platt,  ;Roland Emmerich
60;200000000;Animation Drama;17979;holiday based on novel victorian england money christmas eve;39.744242;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";04.11.2009;325233863;A Christmas Carol;5,6;1095;Gary Oldman, Carrey Valentine, Daryl Sabara, Sage Ryan,  ;Robert Zemeckis
61;176000003;Science Fiction Fantasy Action Adventure;76757;jupiter space woman director 3d interspecies romance;85.36908000000003;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";04.02.2015;183987723;Jupiter Ascending;6,6;2768;Mila Kunis, Tatum Bean, Eddie Redmayne, Douglas Booth,  ;Lilly Wachowski
62;180000000;Action Adventure;258489;africa feral child tarzan jungle animal attack;42.741719;"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";29.06.2016;356743061;The Legend of Tarzan;5,2;2430;Alexander Skarsg\u00e5rd, Robbie Waltz, Samuel L., Jackson Djimon, Hounsou ;David Yates
63;180000000;Adventure Family Fantasy;411;saving the world witch based on novel brother sister relationship self sacrifice;67.391328;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";07.12.2005;748806957;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;5,5;2629;William Moseley, Popplewell Keynes, Georgie Henley, Liam Neeson,  ;Andrew Adamson
64;178000000;Science Fiction;246655;mutant supernatural powers marvel comic superhero based on comic book;139.272042;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";18.05.2016;543934787;X-Men: Apocalypse;6,7;4721;James McAvoy, Fassbender Lawrence, Nicholas Hoult, Oscar Isaac,  ;Bryan Singer
65;185000000;Drama Action Crime Thriller;155;dc comics crime fighter secret identity scarecrow sadism;187.322927;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";16.07.2008;1004558444;The Dark Knight;6,4;12002;Christian Bale, Ledger Eckhart, Michael Caine, Maggie Gyllenhaal,  ;Christopher Nolan
66;175000000;Animation Comedy Family Adventure;14160;age difference central and south america balloon animation floating in the air;92.201962;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";13.05.2009;735099082;Up;8,2;6870;Ed Asner, Plummer Nagai, Bob Peterson, Delroy Lindo,  ;Pete Docter
67;175000000;Animation Family Adventure Science Fiction;15512;alien giant robot duringcreditsstinger;36.167578000000006;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";19.03.2009;381509870;Monsters vs Aliens;7,7;1423;Seth Rogen, Witherspoon Laurie, Paul Rudd, Kiefer Sutherland,  ;Conrad Vernon
68;140000000;Action Science Fiction Adventure;1726;middle east arms dealer malibu marvel comic superhero;120.725053;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";30.04.2008;585174222;Iron Man;6;8776;Robert Downey, Terrence Jeff, Bridges Shaun, Toub Gwyneth, Paltrow ;Jon Favreau
69;170000000;Adventure Drama Family;44826;library clock film director key toy;32.319043;"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]";22.11.2011;185770160;Hugo;7,4;2141;Ben Kingsley, Baron Asa, Butterfield Chlo\u00eb, Grace Moretz, Ray Winstone;Martin Scorsese
70;170000000;Action Adventure Comedy Science Fiction Western;8487;steampunk based on tv series steam locomotive drag;40.748915000000004;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";29.06.1999;222104681;Wild Wild West;7;1020;Will Smith, Kline Branagh, Salma Hayek, M. Emmet, Walsh ;Barry Sonnenfeld
71;145000000;Adventure Action Fantasy;1735;;60.034162;"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";01.07.2008;401128639;The Mummy: Tomb of the Dragon Emperor;5,1;1387;Brendan Fraser, Li Hannah, Maria Bello, Luke Ford,  ;Rob Cohen
72;175000000;Action Adventure Crime Fantasy Science Fiction;297761;dc comics shared universe anti hero secret mission villain;90.23791999999999;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";02.08.2016;745000000;Suicide Squad;5,2;7458;Will Smith, Robbie Kinnaman, Viola Davis, Jared Leto,  ;David Ayer
73;175000000;Fantasy Comedy Family;2698;father son relationship daily life married couple support father;27.082182;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";09.06.2007;173000000;Evan Almighty;5,9;1151;Steve Carell, Graham Goodman, Jimmy Bennett, John Michael, Higgins ;Tom Shadyac
74;178000000;Action Science Fiction;137113;deja vu time warp restart dystopia war;79.456485;"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";27.05.2014;370541256;Edge of Tomorrow;5,3;4858;Tom Cruise, Blunt Gleeson, Bill Paxton, Jonas Armstrong,  ;Doug Liman
75;175000000;Adventure Action;9804;ocean tattoo mutant water dystopia;44.640291999999995;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";28.07.1995;264218220;Waterworld;7,6;992;Kevin Costner, Girafi Aviles, R. D., Call Zitto, Kazann ;Kevin Reynolds
76;175000000;Adventure Action Thriller Science Fiction;14869;terrorist secret hostage technology warhead;32.852443;"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";04.08.2009;302469017;G.I. Joe: The Rise of Cobra;5,9;1962;Dennis Quaid, Tatum Wayans, Sienna Miller, Joseph Gordon-Levitt,  ;Stephen Sommers
77;175000000;Drama Comedy Animation Family;150540;dream cartoon imaginary friend animation family;128.65596399999998;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";09.06.2015;857611174;Inside Out;5,6;6560;Amy Poehler, Smith Kind, Bill Hader, Lewis Black,  ;Pete Docter
78;175000000;Family Adventure Drama Fantasy;278927;based on novel snake wolf elephant tiger;94.19931600000001;"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";07.04.2016;966550600;The Jungle Book;8;2892;Neel Sethi, Murray Kingsley, Idris Elba, Scarlett Johansson,  ;Jon Favreau
79;200000000;Adventure Action Science Fiction;10138;malibu marvel comic superhero based on comic book revenge;77.30019399999998;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";28.04.2010;623933331;Iron Man 2;6,7;6849;Robert Downey, Gwyneth Don, Cheadle Scarlett, Johansson Mickey, Rourke ;Jon Favreau
80;170000000;Adventure Fantasy Drama;58595;queen magic fairy tale immortality forest;77.178973;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";30.05.2012;396600000;Snow White and the Huntsman;6,6;3118;Kristen Stewart, Theron Hemsworth, Sam Claflin, Ian McShane,  ;Rupert Sanders
81;180000000;Fantasy Adventure Action Family Romance;102651;fairy tale villain sleeping beauty dark fantasy based on fairy tale;110.62064699999999;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";28.05.2014;758539785;Maleficent;5,8;4496;Angelina Jolie, Fanning Copley, Sam Riley, Juno Temple,  ;Robert Stromberg
82;170000000;Science Fiction Action Drama Thriller;119450;leader colony post-apocalyptic dystopia forest;243.79174300000003;"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]";26.06.2014;710644566;Dawn of the Planet of the Apes;7;4410;Andy Serkis, Clarke Oldman, Keri Russell, Toby Kebbell,  ;Matt Reeves
